Link,Title,Company,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=58ff9351c67e142d,[기술기획] 클라우드 플랫폼 개발자,한국카카오은행,성남 분당구,,"2년 이상인 분 · Infrastructure as Code를 이해하고 구현할 수 있는 분 · Golang, Python, Java 중 하나 이상의 언어에 능숙한 분 우대사항 · 서비스를 설계 단계부터 참여해서 오픈한 경험이..."
https://kr.indeed.com/viewjob?jk=7453bfdc26273cd9,Quantitative Researcher,자산운용: Quantitative Research,서울,"연봉 110,000,000원 - 140,000,000원","깊은 사고력, 창의력, 직업적 윤리의식, 끈기 있고 명석한 자가주도형 인재 프로그래밍 가능 (C++, Python 선호하나 필수는 아님) 글로벌 금융 시장에 대해 배우려는 강력한 의지 영어로 의사소통이 원활하신 분 (서면 및..."
https://kr.indeed.com/viewjob?jk=a50fce6cc2cb57c9,자연어처리전문가 금융챗봇 만들어 갈 엔지니어,파운트,서울 충정로역,,리에 필요한 알고리즘을 개발하고 Python으로 구현 및 성능 검증을 진행... Description - 자연어 처리에 필요한 알고리즘을 개발하고 Python으로 구현 및 성능 검증을 진행 - 자연어 전처리 (형태소 분석...
https://kr.indeed.com/viewjob?jk=b658bf0e47e92299,Native Korean Speaking Software QA Test Engineer,TikTok,서울 여의도역,"월급 4,000,000원 - 6,000,000원","Education, Technical Skills / Knowledge) * Experience on Python, Shell * Experience in test tools/framework... Charles..."
https://kr.indeed.com/viewjob?jk=52df5f332439e2f7,[보안]위메프 보안 엔지니어(정규직),위메프,대한민국,,"형상관리(git, stash) 사용 경험이 있는 분 - 상용 보안솔루션 REST API 연동 경험이 있는 분 - Python 등 기타 언어의 사용 경험이 있는 분 [우대사항] - WebFramework 개발 경험이 있는 분..."
https://kr.indeed.com/viewjob?jk=914578ba5310e818,Software Development Engineer,Mentor Graphics (Korea) LLC,경기도 성남,,data analysis Developing high performance software in python/programming language; Expertise in various software development...
https://kr.indeed.com/viewjob?jk=1b62babbbf2d717a,경험최적화 - 데이터 사이언티스트/분석가,Nexon,성남 분당구,,피처 탐색 등) - 게임 내 행동 패턴 로그 분석과 패턴 식별 및 이를 통한 서비스 개선 지원자격 - Python을 사용한 데이터 분석 및 모델 개발 경험 - 머신러닝 라이브러리 활용 경험 - 셀프 모티베이션과 원활한...
https://kr.indeed.com/viewjob?jk=bd5ce1a809ec610a,Modem QA Contractor,聯發科技,경기도 성남,,4. Good verbal and written communication skills in English 5. Prefer programing experience(C/JAVA/ Python #LI-NOPOST
https://kr.indeed.com/viewjob?jk=94064c6864564f7b,CG Artist,LOCUS,대한민국,,"크리쳐 리깅 MAYA 가능자 / PYTHON SCRIPT 가능자 MEL... PHOTOSHOP, AE) DIGITAL PAINTING/ MEL/ PYTHON SCRIPT HAIR/CLOTH 신입/경력 00명 헤어/클로스..."
https://kr.indeed.com/viewjob?jk=f91bdb1160ad64d2,"빅데이터, Python 외 신입 정규직",주)씽크풀,서울 영등포구,,"주)씽크풀 빅데이터, Python 외 신입 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] 파이썬( Python) 콘텐츠 알고리즘... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=241ae1e7499c461c,Security Engineer (모의해킹/취약점 점검),Toss,서울 강남구,,"그바운트 경험이 있는 분 - 해킹대회 우승 경력이 있는 분 - 다양한 플랫폼 보안 진단 경험이 있는 분 - Python, C, C++, C#, JAVA 중 프로그래밍 언어에 능숙 하신 분 # 현업 인터뷰 - 결제 산업의 미래..."
https://kr.indeed.com/viewjob?jk=e0bd768490336a11,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장,서울 강남구,,"학과, 전산학, 컴퓨터공학과, 통계학 [우대사항] 전공계열: 인문과학계열, 공학계열 자격증: EXCEL, PYTHON, 컴퓨터활용능력 우대사항: 인근거주자 0 명 근무조건 고용형태: 인턴(근무기간 협의 후 결정, 수습기간 3..."
https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9,추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,,"관련 업무 경험자 우대사항 운영체제, 네트워크, 컴파일러, 데이터베이스에 대한 이해가 깊으신 분 Python, C++, GPU 프로그래밍 숙련자 대용량/실시간 서비스 개발/운영 경험이 많으신 분 ICPC/TopCoder..."
https://kr.indeed.com/viewjob?jk=716bdc34dfbe8f69,정보보호 담당자 영입,카카오페이,성남 분당구,,"술적 지식과 설계, 구축, 운영 등 역량을 보유하신 분 - 개발언어(Shell script, JAVA, Python 등)에 대한 이해 및 코드리뷰와 관련한 역량을 보유하신 분 - ISMS-P, PCI-DSS, ISO27001..."
